timestamp_ms,time,situation,emotion,intensity,attacker,is_p1_attacking
7500,7.5,ラウンド開始,緊張,medium,,
9550,9.5,様子見（接戦）,集中,low,,
11600,11.6,牽制ヒット,淡々,low,p1,True
12300,12.3,被弾,焦り,low,p2,False
15200,15.2,差し合い,集中,medium,both,
15900,15.9,飛び込みヒット,喜び,medium,p1,True
17400,17.4,攻撃ヒット,喜び,low,p1,True
19200,19.2,様子見（読み合い）,冷静,low,,
21000,21.0,被弾,焦り,low,p2,False
23550,23.5,様子見（読み合い）,冷静,low,,
26100,26.1,立ち回り,緊張,medium,both,
28200,28.2,様子見（読み合い）,冷静,low,,
30300,30.3,強攻撃ヒット,興奮,high,p1,True
31400,31.4,被弾,焦り,low,p2,False
33000,33.0,被弾,悔しさ,low,p2,False
34500,34.5,様子見（読み合い）,冷静,low,,
36000,36.0,被弾,焦り,medium,p2,False
38950,38.9,様子見（接戦）,集中,low,,
41900,41.9,攻撃ヒット,喜び,medium,p1,True
43750,43.7,様子見（読み合い）,冷静,low,,
45600,45.6,コンボ被弾開始,悔しさ,high,p2,False
46900,46.9,コンボ被弾中,苦悶,high,p2,False
47700,47.7,コンボ被弾中,焦り,high,p2,False
48500,48.5,コンボ終了・ダウン,危機感,medium,p2,False
50000,50.0,起き攻め対処,緊張,medium,both,
51500,51.5,コンボ開始,興奮,high,p1,True
53000,53.0,コンボ継続,興奮,high,p1,True
53700,53.7,コンボ継続,興奮,high,p1,True
54300,54.3,コンボ締め,歓喜,high,p1,True
56350,56.3,様子見（読み合い）,冷静,low,,
58400,58.4,コンボ被弾開始,悔しさ,medium,p2,False
59000,59.0,コンボ被弾中,焦り,medium,p2,False
59600,59.6,コンボ終了,焦り,medium,p2,False
64600,64.6,様子見（ピンチ）,焦り,low,,
69600,69.6,トドメの一撃,歓喜,high,p1,True
70900,70.9,KO勝利,歓喜,high,p1,True
73550,73.5,様子見（ピンチ）,焦り,low,,
76200,76.2,次ラウンド開始,集中,medium,,
