timestamp_ms,time,situation,comment,emotion
7500,7.5,ラウンド開始,幕開けですわね。,緊張
9500,9.5,様子見（接戦）,集中しますわよ。,集中
11600,11.6,牽制ヒット,ですわ,淡々
12300,12.3,被弾,まあ、痛いですわ！,焦り
15200,15.2,差し合い,うん,集中
15900,15.9,飛び込みヒット,華麗ですわ,喜び
17400,17.4,攻撃ヒット,素敵ですわね。,喜び
19200,19.2,様子見（読み合い）,読み合いですの,冷静
21000,21.0,被弾,きゃっ、失礼な！,焦り
23500,23.5,様子見（読み合い）,ふふ、見えていますわ。,冷静
26100,26.1,立ち回り,気を引き締めて。,緊張
28200,28.2,様子見（読み合い）,読み解きますわ。,冷静
30300,30.3,強攻撃ヒット,素晴らしい！,興奮
31400,31.4,被弾,あらまあ！,焦り
33000,33.0,被弾,生意気な！,悔しさ
34500,34.5,様子見（読み合い）,見えています,冷静
36000,36.0,被弾,少々焦りますわね。,焦り
38900,38.9,様子見（接戦）,集中して臨みますわ。,集中
41900,41.9,攻撃ヒット,良い感触ですわね。,喜び
43700,43.7,様子見（読み合い）,読み切りますわ。,冷静
45600,45.6,コンボ被弾開始,無礼な！,悔しさ
46900,46.9,コンボ被弾中,ひどい,苦悶
47700,47.7,コンबो被弾中,くっ,焦り
48500,48.5,コンボ終了・ダウン,まずいですわ！,危機感
50000,50.0,起き攻め対処,凌ぎますわ！,緊張
51500,51.5,コンボ開始,舞いますわ！,興奮
53000,53.0,コンボ継続,次よ,興奮
53700,53.7,コンボ継続,まだ,興奮
54300,54.3,コンボ締め,決まりましたわ！,歓喜
56300,56.3,様子見（読み合い）,見極めますわ。,冷静
58400,58.4,コンボ被弾開始,あら,悔しさ
59000,59.0,コンボ被弾中,痛っ,焦り
59600,59.6,コンボ終了,ですがまだ、わたくしは終わっていませんわ！,焦り
64600,64.6,様子見（ピンチ）,少々厳しいですわね…ですがここからが本番ですわ！,焦り
69600,69.6,トドメの一撃,決まったわ！,歓喜
70900,70.9,KO勝利,おほほ、当然の結果ですわ！,歓喜
73500,73.5,様子見（ピンチ）,次も油断なりませんわ。,焦り
76200,76.2,次ラウンド開始,さあ、次のラウンドも完璧に勝ち抜きますわ！,集中
